strategy,zone,imbalance_usd,abs_imbalance_usd,da_cost_usd,energy_mwh,usd_per_mwh,pct_of_da_cost,slots
isolf_post,NORTH,-292991.5676949105,4650907.4865801195,390779305.2625,5238036.30340917,-0.05593538317102103,-0.07497622411148358,35039
isolf_post,WEST,450319.7160532546,9724409.098806174,918731763.795,14423966.898768883,0.031220240535333618,0.04901536376549359,35039
isolf_pre_alpha,CAPITL,4831941.72660186,10807639.81111239,895716948.0523335,11367851.100840287,0.42505322103002324,0.5394496260351598,35039
isolf_pre_alpha,CENTRL,4707301.794408097,11903226.983276099,1082609905.2751603,14569153.090515323,0.3231005786789763,0.4348105232984794,35039
isolf_pre_alpha,DUNWOD,3000554.5944677712,6519252.5883812085,463827411.89923936,5830282.248757319,0.5146499717243221,0.6469118722805465,35039
isolf_pre_alpha,GENESE,3524218.7845758563,7751147.134584256,643997518.8423411,9293781.730667531,0.37920180252853075,0.5472410500759446,35039
isolf_pre_alpha,HUD VL,4259386.743006354,11564759.250216598,779483787.9251573,9665110.928899497,0.4406971398818019,0.5464368610338978,35039
isolf_pre_alpha,LONGIL,12885736.698673824,25097305.04720058,1606298399.91993,20191687.893679596,0.6381703583437083,0.802200680727575,35039
isolf_pre_alpha,MHK VL,2601571.25257996,7985650.654019102,565472124.0336435,7038633.356943193,0.36961312241298444,0.46007064575037765,35039
isolf_pre_alpha,MILLWD,1679290.57921668,4078201.022085918,222848741.66254887,2678009.804611052,0.627066628481062,0.7535562313201498,35039
isolf_pre_alpha,N.Y.C.,15501121.255911475,43543411.15277558,3984446030.0926585,51013756.80118229,0.30386159004765206,0.3890408136749438,35039
isolf_pre_alpha,NORTH,-411121.71008515067,4722151.620785293,384655966.2562816,5238036.30340917,-0.07848775500421265,-0.10688036743234497,35039
isolf_pre_alpha,WEST,2300629.226184515,8777981.12906677,920251830.5760404,14423966.898768883,0.15950045104310925,0.249999961939159,35039
model,CAPITL,5999045.97844205,12055840.1945966,913199702.5005264,11367851.100840287,0.527720316287272,0.656925967235364,35039
model,CENTRL,3932630.8712687492,12995362.397633614,1089525516.7848558,14569153.090515323,0.2699285845125023,0.36094894618657286,35039
model,DUNWOD,2353278.018815102,6470496.044597157,468492281.72166836,5830282.248757319,0.4036302049213288,0.5023088128937813,35039
model,GENESE,2297571.5484452723,7376770.25724608,648945033.8054776,9293781.730667531,0.24721600044293787,0.3540471732978811,35039
model,HUD VL,2735825.1487018038,12778382.962573078,777273749.3163764,9665110.928899497,0.2830619502277471,0.3519770416932261,35039
model,LONGIL,11436267.380694708,30288863.462057628,1603206709.0712411,20191687.893679596,0.5663849124903763,0.7133370460581399,35039
model,MHK VL,2305085.7482194626,8596584.800935231,575084604.2695438,7038633.356943193,0.32749052711285676,0.4008255013446791,35039
model,MILLWD,1283450.2193828167,4000135.2095909077,226175110.10019648,2678009.804611052,0.4792552354263027,0.567458646892774,35039
model,N.Y.C.,4749821.684728377,42861778.73283598,3953456004.337407,51013756.80118229,0.09310864328694755,0.1201435321277703,35039
model,NORTH,-114423.28975290894,5233146.667698957,385224359.45731056,5238036.30340917,-0.021844692003840573,-0.029703025508071225,35039
model,WEST,3788027.7751467843,11267655.535979174,954175995.4091802,14423966.898768883,0.2626203874240796,0.3969946627636929,35039
model_alpha_bid,CAPITL,5887838.753229148,12062332.946713416,904726132.2002183,11367851.100840287,0.5179377088070701,0.6507868562291239,35039
model_alpha_bid,CENTRL,3912255.082280933,13516858.132386446,1081280504.508163,14569153.090515323,0.2685300276532789,0.3618168519611368,35039
model_alpha_bid,DUNWOD,2471196.345226794,6618491.615001075,465414581.1782565,5830282.248757319,0.42385535378729067,0.5309666789920171,35039
model_alpha_bid,GENESE,2293952.635086985,7419145.894045683,643511010.5128229,9293781.730667531,0.24682660961548322,0.35647449656827196,35039
